Order Date,Region,State,Segment,Ship Mode,Category,Sub-Category,Sales,Profit
2022-12-06,South,Florida,Consumer,Standard Class,Furniture,Tables,895.32,-165.48
2022-12-07,Central,Washington,Home Office,First Class,Office Supplies,Supplies,648.45,85.3
2022-12-08,South,Washington,Consumer,Same Day,Office Supplies,Supplies,295.37,-40.49
2022-12-09,Central,Florida,Home Office,First Class,Office Supplies,Binders,305.8,-33.72
2022-12-10,West,New York,Home Office,First Class,Furniture,Tables,892.29,184.69
2022-12-11,Central,Texas,Home Office,Same Day,Technology,Accessories,23.5,-0.33
2022-12-12,Central,Texas,Consumer,Second Class,Technology,Accessories,329.5,33.56
2022-12-13,Central,Texas,Consumer,Second Class,Furniture,Bookcases,558.81,-32.73
2022-12-14,South,Washington,Corporate,Second Class,Office Supplies,Paper,156.74,-19.0
2022-12-15,South,Washington,Home Office,Standard Class,Technology,Copiers,101.18,7.62
2022-12-16,Central,New York,Corporate,Same Day,Office Supplies,Paper,817.12,-169.21
2022-12-17,South,Texas,Corporate,Same Day,Furniture,Tables,895.46,-68.23
2022-12-18,East,Texas,Consumer,First Class,Office Supplies,Binders,825.37,-144.09
2022-12-19,East,Florida,Consumer,Standard Class,Technology,Accessories,899.8,105.71
2022-12-20,South,Washington,Corporate,Second Class,Technology,Accessories,557.58,148.61
2022-12-21,South,Texas,Home Office,Standard Class,Office Supplies,Binders,814.14,242.05
2022-12-22,Central,New York,Consumer,Same Day,Furniture,Bookcases,390.2,-11.64
2022-12-23,West,New York,Home Office,Same Day,Office Supplies,Supplies,669.61,-99.42
2022-12-24,South,Texas,Home Office,First Class,Furniture,Tables,988.95,-33.92
2022-12-25,East,Washington,Corporate,First Class,Office Supplies,Supplies,233.47,48.65
2022-12-26,Central,New York,Corporate,Same Day,Technology,Accessories,396.0,-69.85
2022-12-27,South,Florida,Corporate,Second Class,Furniture,Chairs,485.25,131.63
2022-12-28,East,New York,Corporate,Second Class,Furniture,Chairs,146.64,-13.91
2022-12-29,East,California,Consumer,Standard Class,Furniture,Tables,90.23,26.3
2022-12-30,West,California,Consumer,Same Day,Technology,Phones,831.43,168.92
2022-12-31,Central,Washington,Corporate,Same Day,Office Supplies,Binders,977.03,180.89
2023-01-01,Central,Texas,Consumer,Second Class,Technology,Accessories,410.68,-44.87
2023-01-02,West,Washington,Corporate,Second Class,Furniture,Tables,96.77,-28.52
2023-01-03,West,Washington,Home Office,Same Day,Office Supplies,Binders,75.15,-5.31
2023-01-04,Central,Washington,Home Office,First Class,Technology,Copiers,892.41,-106.12
2023-01-05,Central,Washington,Home Office,Same Day,Furniture,Bookcases,469.18,-130.23
2023-01-06,South,Florida,Corporate,Same Day,Furniture,Tables,326.83,1.05
2023-01-07,South,Florida,Home Office,Second Class,Technology,Accessories,481.7,-28.03
2023-01-08,West,New York,Consumer,Second Class,Technology,Copiers,325.12,26.25
2023-01-09,South,California,Home Office,First Class,Technology,Phones,494.15,35.93
2023-01-10,East,Washington,Home Office,First Class,Furniture,Bookcases,860.96,-195.91
2023-01-11,South,New York,Home Office,Standard Class,Technology,Copiers,596.38,170.67
2023-01-12,South,California,Consumer,Same Day,Furniture,Bookcases,697.71,-131.06
2023-01-13,East,Texas,Corporate,Second Class,Technology,Copiers,371.02,-12.18
2023-01-14,West,Florida,Consumer,First Class,Furniture,Tables,741.12,-5.28
2023-01-15,East,California,Corporate,Standard Class,Furniture,Tables,669.95,125.84
2023-01-16,South,Texas,Corporate,Standard Class,Office Supplies,Binders,128.37,-30.87
2023-01-17,West,California,Home Office,Second Class,Technology,Phones,576.92,-24.7
2023-01-18,South,Florida,Corporate,Second Class,Technology,Phones,264.18,20.37
2023-01-19,East,Florida,Consumer,Standard Class,Furniture,Chairs,806.05,-137.76
2023-01-20,East,New York,Consumer,First Class,Furniture,Bookcases,431.68,33.02
2023-01-21,South,Washington,Corporate,Standard Class,Furniture,Tables,994.74,252.86
2023-01-22,Central,California,Home Office,Same Day,Office Supplies,Paper,101.58,30.32
2023-01-23,Central,California,Home Office,Same Day,Office Supplies,Binders,782.54,-219.53
2023-01-24,East,Texas,Consumer,Second Class,Furniture,Chairs,676.96,-107.4
2023-01-25,East,Florida,Home Office,First Class,Technology,Copiers,769.82,-87.62
2023-01-26,Central,California,Corporate,First Class,Technology,Copiers,314.45,-19.03
2023-01-27,Central,Florida,Corporate,Same Day,Office Supplies,Binders,497.13,-76.88
2023-01-28,South,California,Consumer,Standard Class,Office Supplies,Paper,798.54,-142.07
2023-01-29,South,New York,Corporate,Second Class,Furniture,Tables,240.22,65.52
2023-01-30,Central,Washington,Consumer,Standard Class,Technology,Accessories,233.77,58.7
2023-01-31,South,California,Corporate,Standard Class,Furniture,Chairs,555.54,-151.0
2023-02-01,South,Florida,Consumer,Standard Class,Office Supplies,Paper,528.33,-51.1
2023-02-02,West,New York,Home Office,First Class,Technology,Copiers,289.44,-16.47
2023-02-03,South,California,Corporate,Same Day,Technology,Copiers,305.09,-47.77
2023-02-04,East,Texas,Corporate,First Class,Office Supplies,Binders,285.07,22.04
2023-02-05,South,Washington,Consumer,Same Day,Furniture,Bookcases,773.8,65.18
2023-02-06,South,California,Consumer,Second Class,Furniture,Chairs,655.38,137.83
2023-02-07,Central,New York,Corporate,Second Class,Technology,Accessories,834.09,120.54
2023-02-08,East,Texas,Consumer,Standard Class,Office Supplies,Paper,975.72,24.92
2023-02-09,South,New York,Corporate,Same Day,Technology,Accessories,479.42,44.18
2023-02-10,South,New York,Home Office,Same Day,Office Supplies,Supplies,76.03,-10.31
2023-02-11,West,Texas,Consumer,Same Day,Furniture,Chairs,57.61,3.22
2023-02-12,South,New York,Corporate,Standard Class,Office Supplies,Paper,302.71,-1.96
2023-02-13,South,Texas,Home Office,Standard Class,Furniture,Chairs,933.22,-205.3
2023-02-14,West,California,Home Office,Second Class,Office Supplies,Paper,527.98,-81.56
2023-02-15,Central,Texas,Corporate,First Class,Technology,Copiers,279.07,-34.88
2023-02-16,South,Texas,Consumer,Same Day,Furniture,Bookcases,405.18,103.15
2023-02-17,West,Washington,Corporate,Same Day,Technology,Phones,602.61,-97.48
2023-02-18,East,Texas,Home Office,First Class,Technology,Copiers,656.42,-83.01
2023-02-19,Central,Texas,Corporate,Same Day,Furniture,Bookcases,162.38,-12.73
2023-02-20,East,California,Consumer,Standard Class,Furniture,Chairs,977.26,96.01
2023-02-21,East,Washington,Home Office,Standard Class,Technology,Accessories,549.32,-125.83
2023-02-22,West,Florida,Corporate,Same Day,Technology,Copiers,144.33,39.31
2023-02-23,South,California,Consumer,Standard Class,Technology,Phones,894.7,196.25
2023-02-24,West,California,Home Office,Standard Class,Technology,Copiers,83.89,3.89
2023-02-25,West,Florida,Consumer,Same Day,Furniture,Bookcases,908.66,94.88
2023-02-26,West,Texas,Home Office,Second Class,Furniture,Bookcases,996.6,-289.02
2023-02-27,West,New York,Corporate,First Class,Technology,Copiers,703.43,-67.97
2023-02-28,Central,Washington,Consumer,Standard Class,Office Supplies,Binders,772.74,137.08
2023-03-01,South,New York,Home Office,Second Class,Office Supplies,Binders,343.93,-87.19
2023-03-02,East,Florida,Consumer,Standard Class,Furniture,Chairs,942.16,-123.06
2023-03-03,East,California,Consumer,Standard Class,Technology,Copiers,534.42,27.35
2023-03-04,South,California,Corporate,First Class,Technology,Copiers,735.06,-107.43
2023-03-05,East,Washington,Consumer,Standard Class,Furniture,Bookcases,924.87,240.82
2023-03-06,South,California,Home Office,First Class,Office Supplies,Binders,975.43,-215.93
2023-03-07,East,California,Home Office,First Class,Office Supplies,Supplies,834.87,148.97
2023-03-08,West,Washington,Home Office,First Class,Office Supplies,Paper,309.99,1.48
2023-03-09,East,Washington,Home Office,Second Class,Furniture,Bookcases,966.88,145.22
2023-03-10,South,Florida,Corporate,Same Day,Office Supplies,Paper,631.84,-71.76
2023-03-11,South,California,Consumer,Second Class,Furniture,Bookcases,931.34,8.1
2023-03-12,South,California,Corporate,Same Day,Furniture,Chairs,679.34,145.45
2023-03-13,South,Florida,Consumer,Same Day,Technology,Copiers,314.17,-6.24
2023-03-14,South,Texas,Consumer,First Class,Office Supplies,Paper,376.32,-31.67
2023-03-15,Central,Texas,Consumer,Standard Class,Furniture,Tables,554.97,12.04
2023-03-16,Central,Texas,Corporate,First Class,Office Supplies,Supplies,792.11,103.31
2023-03-17,East,Florida,Consumer,Standard Class,Office Supplies,Paper,324.8,-11.0
2023-03-18,South,California,Corporate,Same Day,Technology,Accessories,583.93,153.76
2023-03-19,East,Florida,Home Office,First Class,Office Supplies,Binders,352.17,-43.33
2023-03-20,South,Florida,Home Office,Standard Class,Technology,Copiers,817.61,-12.04
2023-03-21,South,Texas,Consumer,Second Class,Furniture,Bookcases,472.06,72.77
2023-03-22,Central,New York,Corporate,Standard Class,Office Supplies,Supplies,85.96,9.75
2023-03-23,Central,California,Home Office,First Class,Furniture,Tables,174.39,38.05
2023-03-24,West,Texas,Corporate,Second Class,Office Supplies,Supplies,70.49,21.01
2023-03-25,Central,New York,Corporate,Standard Class,Furniture,Bookcases,504.31,-22.13
2023-03-26,West,New York,Consumer,Standard Class,Office Supplies,Binders,115.27,-26.89
2023-03-27,West,Washington,Home Office,Standard Class,Office Supplies,Binders,123.0,-34.66
2023-03-28,West,California,Consumer,Standard Class,Office Supplies,Binders,941.64,128.18
2023-03-29,West,New York,Consumer,Standard Class,Office Supplies,Paper,873.93,196.12
2023-03-30,West,Texas,Home Office,Second Class,Office Supplies,Supplies,457.57,-76.68
2023-03-31,East,Washington,Home Office,Same Day,Office Supplies,Binders,985.95,-202.05
2023-04-01,Central,California,Corporate,Second Class,Office Supplies,Binders,10.18,-2.67
2023-04-02,West,Florida,Home Office,Second Class,Office Supplies,Binders,617.84,119.63
2023-04-03,South,Texas,Corporate,Second Class,Office Supplies,Supplies,620.26,-70.2
2023-04-04,Central,New York,Corporate,Same Day,Furniture,Bookcases,462.87,-27.3
2023-04-05,Central,New York,Corporate,First Class,Technology,Copiers,402.98,0.66
2023-04-06,West,Texas,Home Office,Same Day,Office Supplies,Paper,460.83,93.86
2023-04-07,East,New York,Consumer,Second Class,Technology,Accessories,420.81,38.08
2023-04-08,West,Washington,Corporate,Standard Class,Office Supplies,Binders,733.19,50.62
2023-04-09,East,California,Consumer,Standard Class,Office Supplies,Supplies,144.0,-28.02
2023-04-10,South,Washington,Consumer,Second Class,Furniture,Chairs,205.66,1.63
2023-04-11,Central,New York,Home Office,Standard Class,Furniture,Bookcases,188.71,24.39
2023-04-12,South,Florida,Consumer,Second Class,Technology,Copiers,269.85,76.63
2023-04-13,East,California,Consumer,Standard Class,Furniture,Bookcases,530.01,-94.95
2023-04-14,East,California,Home Office,Same Day,Furniture,Tables,120.1,-35.34
2023-04-15,South,Texas,Corporate,First Class,Technology,Accessories,869.49,-221.56
2023-04-16,East,Texas,Consumer,First Class,Furniture,Bookcases,304.39,-22.67
2023-04-17,South,Florida,Home Office,Same Day,Office Supplies,Binders,170.91,32.87
2023-04-18,Central,California,Consumer,Same Day,Technology,Copiers,678.87,-200.75
2023-04-19,South,Florida,Consumer,Second Class,Technology,Copiers,47.71,-1.24
2023-04-20,Central,Texas,Corporate,Second Class,Office Supplies,Binders,623.77,-63.91
2023-04-21,South,Texas,Consumer,Second Class,Furniture,Bookcases,701.22,-188.29
2023-04-22,East,California,Home Office,Standard Class,Technology,Phones,222.77,-6.65
2023-04-23,South,Washington,Consumer,Second Class,Technology,Accessories,51.54,-7.58
2023-04-24,East,New York,Corporate,Same Day,Office Supplies,Paper,370.01,-32.88
2023-04-25,South,Texas,Corporate,First Class,Office Supplies,Binders,107.61,13.28
2023-04-26,South,Texas,Home Office,Standard Class,Furniture,Tables,125.31,1.62
2023-04-27,West,Washington,Corporate,Second Class,Technology,Accessories,261.72,-58.94
2023-04-28,East,Washington,Consumer,Standard Class,Furniture,Chairs,302.51,83.75
2023-04-29,West,Florida,Corporate,Standard Class,Furniture,Tables,534.67,43.6
2023-04-30,East,Florida,Home Office,Second Class,Office Supplies,Supplies,681.61,108.73
2023-05-01,West,New York,Corporate,Standard Class,Technology,Copiers,596.84,-150.69
2023-05-02,Central,New York,Corporate,First Class,Technology,Phones,156.88,-42.63
2023-05-03,South,California,Corporate,Same Day,Technology,Accessories,180.37,-52.01
2023-05-04,East,Florida,Home Office,Same Day,Office Supplies,Supplies,879.98,-164.31
2023-05-05,East,Texas,Corporate,First Class,Office Supplies,Supplies,562.77,-28.9
2023-05-06,South,Florida,Corporate,Standard Class,Office Supplies,Paper,871.24,227.83
2023-05-07,East,Texas,Consumer,Second Class,Office Supplies,Paper,377.83,-9.73
2023-05-08,East,Washington,Home Office,Standard Class,Office Supplies,Supplies,618.26,-77.81
2023-05-09,West,Florida,Corporate,First Class,Technology,Copiers,528.43,19.64
2023-05-10,East,Washington,Home Office,Standard Class,Furniture,Chairs,325.93,-75.89
2023-05-11,Central,New York,Corporate,Same Day,Technology,Phones,475.22,31.22
2023-05-12,Central,New York,Corporate,Standard Class,Furniture,Bookcases,507.47,20.84
2023-05-13,South,California,Corporate,First Class,Office Supplies,Binders,208.76,36.57
2023-05-14,East,Florida,Consumer,Same Day,Furniture,Bookcases,321.86,93.99
2023-05-15,South,Washington,Consumer,Standard Class,Technology,Copiers,793.5,-118.61
2023-05-16,Central,Texas,Consumer,Standard Class,Technology,Phones,916.63,5.31
2023-05-17,East,New York,Home Office,Same Day,Furniture,Chairs,366.2,89.84
2023-05-18,East,New York,Home Office,Second Class,Office Supplies,Paper,313.9,53.71
2023-05-19,South,Texas,Consumer,Same Day,Office Supplies,Paper,203.25,-1.54
2023-05-20,Central,Washington,Home Office,Second Class,Technology,Accessories,681.71,182.17
2023-05-21,East,Washington,Corporate,First Class,Furniture,Bookcases,329.87,-87.63
2023-05-22,South,Florida,Corporate,First Class,Office Supplies,Binders,987.87,255.46
2023-05-23,Central,Florida,Corporate,Same Day,Office Supplies,Supplies,332.43,-89.65
2023-05-24,South,California,Consumer,Same Day,Technology,Phones,400.19,11.36
2023-05-25,West,New York,Home Office,First Class,Office Supplies,Supplies,607.3,142.27
2023-05-26,East,Florida,Consumer,Second Class,Furniture,Tables,803.67,-114.42
2023-05-27,West,Washington,Home Office,First Class,Technology,Accessories,474.82,-7.91
2023-05-28,Central,Texas,Corporate,Same Day,Technology,Accessories,428.43,-45.16
2023-05-29,West,Washington,Consumer,First Class,Furniture,Bookcases,995.68,270.11
2023-05-30,West,New York,Home Office,Same Day,Technology,Phones,20.39,3.96
2023-05-31,Central,Washington,Home Office,Same Day,Office Supplies,Binders,896.11,112.37
2023-06-01,South,California,Corporate,First Class,Office Supplies,Paper,157.65,8.29
2023-06-02,West,New York,Consumer,Second Class,Furniture,Tables,788.07,151.59
2023-06-03,South,Texas,Consumer,Standard Class,Office Supplies,Paper,621.75,-40.19
2023-06-04,West,California,Consumer,First Class,Furniture,Tables,348.43,-10.96
2023-06-05,South,New York,Corporate,Standard Class,Furniture,Chairs,875.14,120.77
2023-06-06,Central,Texas,Consumer,First Class,Office Supplies,Supplies,22.78,-1.94
2023-06-07,West,California,Corporate,Standard Class,Furniture,Bookcases,234.42,-61.34
2023-06-08,Central,California,Corporate,Second Class,Office Supplies,Supplies,571.22,-145.89
2023-06-09,West,New York,Corporate,Second Class,Technology,Copiers,358.03,-82.63
2023-06-10,Central,Florida,Home Office,First Class,Technology,Accessories,614.27,136.25
2023-06-11,Central,California,Consumer,Same Day,Furniture,Tables,33.87,-0.56
2023-06-12,West,California,Consumer,Standard Class,Office Supplies,Paper,125.29,16.0
2023-06-13,West,Texas,Corporate,Same Day,Office Supplies,Supplies,135.83,-8.73
2023-06-14,West,Washington,Corporate,Same Day,Technology,Accessories,197.39,-28.58
2023-06-15,East,New York,Consumer,Same Day,Technology,Accessories,464.74,-42.61
2023-06-16,South,New York,Corporate,Second Class,Office Supplies,Binders,754.61,133.2
2023-06-17,East,Florida,Consumer,First Class,Furniture,Chairs,906.48,68.1
2023-06-18,East,Florida,Home Office,First Class,Technology,Accessories,837.02,219.79
2023-06-19,Central,New York,Corporate,Second Class,Furniture,Chairs,204.92,22.1
2023-06-20,West,Florida,Consumer,Second Class,Furniture,Chairs,446.74,18.81
2023-06-21,South,Texas,Corporate,First Class,Technology,Accessories,207.42,13.71
2023-06-22,Central,New York,Consumer,Same Day,Furniture,Tables,271.83,72.15
2023-06-23,East,Florida,Consumer,Standard Class,Furniture,Tables,508.51,87.93
2023-06-24,West,New York,Corporate,Standard Class,Office Supplies,Paper,77.43,-22.11
2023-06-25,Central,Washington,Home Office,Standard Class,Furniture,Bookcases,225.99,4.63
2023-06-26,West,California,Consumer,Same Day,Office Supplies,Supplies,936.02,105.77
2023-06-27,Central,New York,Consumer,First Class,Technology,Accessories,471.46,70.35
2023-06-28,West,California,Consumer,Second Class,Technology,Phones,450.93,-77.61
2023-06-29,East,Florida,Home Office,First Class,Office Supplies,Paper,24.42,5.38
2023-06-30,South,California,Home Office,Same Day,Technology,Accessories,254.93,69.72
2023-07-01,East,New York,Corporate,Second Class,Furniture,Chairs,867.63,-137.06
2023-07-02,South,Washington,Home Office,Same Day,Furniture,Bookcases,172.98,39.71
2023-07-03,West,Florida,Corporate,Standard Class,Furniture,Tables,420.97,-101.8
2023-07-04,Central,New York,Corporate,Standard Class,Technology,Accessories,24.19,-6.45
2023-07-05,East,Florida,Home Office,Same Day,Furniture,Bookcases,483.55,-107.57
2023-07-06,South,Texas,Corporate,Second Class,Technology,Copiers,30.81,-8.18
2023-07-07,East,California,Home Office,Second Class,Furniture,Chairs,821.41,170.04
2023-07-08,South,Texas,Corporate,First Class,Office Supplies,Supplies,826.61,-218.7
2023-07-09,East,New York,Home Office,Standard Class,Technology,Copiers,789.86,-108.21
2023-07-10,South,Washington,Home Office,First Class,Technology,Copiers,290.53,-69.07
2023-07-11,South,Florida,Corporate,First Class,Furniture,Chairs,838.86,-102.97
2023-07-12,West,California,Consumer,Same Day,Technology,Copiers,547.57,-134.52
2023-07-13,South,Florida,Corporate,Same Day,Technology,Copiers,380.07,38.31
2023-07-14,West,New York,Home Office,First Class,Office Supplies,Binders,629.08,-138.4
2023-07-15,South,Florida,Consumer,Standard Class,Office Supplies,Supplies,22.22,4.69
2023-07-16,Central,California,Corporate,Same Day,Furniture,Bookcases,151.53,28.84
2023-07-17,Central,New York,Corporate,First Class,Office Supplies,Binders,744.87,-217.36
2023-07-18,Central,Florida,Corporate,First Class,Furniture,Tables,251.72,59.77
2023-07-19,South,Washington,Consumer,First Class,Furniture,Chairs,602.03,-170.15
2023-07-20,West,New York,Home Office,First Class,Furniture,Bookcases,391.25,-61.12
2023-07-21,West,New York,Corporate,First Class,Technology,Copiers,856.26,-240.24
2023-07-22,South,Washington,Corporate,First Class,Office Supplies,Supplies,952.89,-93.85
2023-07-23,Central,Texas,Corporate,Same Day,Furniture,Chairs,884.73,7.36
2023-07-24,Central,California,Corporate,Standard Class,Office Supplies,Supplies,277.91,49.46
2023-07-25,West,Texas,Corporate,First Class,Furniture,Bookcases,202.22,-19.66
2023-07-26,Central,Florida,Home Office,Second Class,Office Supplies,Binders,479.69,59.14
2023-07-27,East,Washington,Home Office,Same Day,Office Supplies,Paper,17.26,-3.24
2023-07-28,West,Texas,Corporate,Same Day,Furniture,Tables,35.55,5.35
2023-07-29,Central,New York,Consumer,First Class,Technology,Copiers,557.76,-88.35
2023-07-30,West,Florida,Home Office,Same Day,Office Supplies,Binders,525.24,-112.33
2023-07-31,East,Florida,Consumer,First Class,Technology,Copiers,994.64,-187.74
2023-08-01,West,Texas,Home Office,Standard Class,Technology,Phones,209.82,-40.03
2023-08-02,West,Texas,Corporate,Standard Class,Furniture,Chairs,265.52,2.05
2023-08-03,West,Washington,Home Office,Same Day,Furniture,Tables,122.41,25.32
2023-08-04,West,California,Corporate,Same Day,Furniture,Tables,918.37,-231.65
2023-08-05,East,Texas,Home Office,Second Class,Office Supplies,Binders,780.03,96.86
2023-08-06,South,Texas,Corporate,Same Day,Furniture,Bookcases,824.12,76.32
2023-08-07,West,New York,Corporate,Second Class,Furniture,Tables,903.74,202.0
2023-08-08,West,Florida,Corporate,Standard Class,Office Supplies,Supplies,529.65,-81.31
2023-08-09,Central,California,Corporate,Standard Class,Office Supplies,Paper,456.68,-13.67
2023-08-10,West,New York,Consumer,First Class,Furniture,Tables,337.09,86.13
2023-08-11,Central,Washington,Corporate,Standard Class,Furniture,Bookcases,593.32,56.96
2023-08-12,South,Washington,Consumer,Second Class,Furniture,Tables,459.74,-30.68
2023-08-13,East,Texas,Consumer,Same Day,Furniture,Tables,457.05,-101.08
2023-08-14,East,Texas,Corporate,First Class,Technology,Copiers,937.56,-133.61
2023-08-15,South,Washington,Consumer,Second Class,Technology,Accessories,984.19,47.96
2023-08-16,East,Texas,Home Office,Same Day,Furniture,Tables,798.52,104.53
2023-08-17,South,California,Corporate,First Class,Technology,Accessories,759.19,-171.08
2023-08-18,South,Texas,Consumer,Standard Class,Office Supplies,Supplies,683.75,40.86
2023-08-19,South,Florida,Corporate,Second Class,Technology,Phones,174.41,5.27
2023-08-20,East,Texas,Corporate,Same Day,Technology,Copiers,68.51,0.57
2023-08-21,Central,New York,Corporate,First Class,Furniture,Chairs,693.82,79.15
2023-08-22,South,California,Consumer,First Class,Technology,Accessories,731.5,148.11
2023-08-23,West,New York,Home Office,Standard Class,Technology,Phones,56.5,-6.0
2023-08-24,East,New York,Home Office,Same Day,Technology,Copiers,928.77,216.78
2023-08-25,South,Florida,Consumer,Standard Class,Technology,Copiers,100.23,-20.41
2023-08-26,South,California,Corporate,Standard Class,Office Supplies,Paper,293.04,-57.49
2023-08-27,West,California,Consumer,Same Day,Furniture,Chairs,675.67,-94.55
2023-08-28,Central,California,Consumer,Same Day,Furniture,Tables,178.17,-40.67
2023-08-29,Central,California,Consumer,Same Day,Office Supplies,Paper,64.86,-10.49
2023-08-30,Central,California,Corporate,Second Class,Technology,Copiers,337.84,-79.78
2023-08-31,South,Florida,Consumer,Same Day,Office Supplies,Binders,768.31,148.32
2023-09-01,South,Texas,Corporate,First Class,Technology,Phones,419.54,-90.88
2023-09-02,South,New York,Consumer,Standard Class,Office Supplies,Binders,656.44,97.4
2023-09-03,East,California,Home Office,Second Class,Furniture,Chairs,583.82,-158.36
2023-09-04,West,Texas,Consumer,Same Day,Furniture,Tables,32.0,8.61
2023-09-05,South,Texas,Consumer,Second Class,Furniture,Tables,988.65,125.26
2023-09-06,West,New York,Home Office,Same Day,Technology,Copiers,51.01,-15.09
2023-09-07,West,Florida,Corporate,Second Class,Technology,Accessories,968.12,153.27
2023-09-08,Central,Washington,Corporate,Standard Class,Office Supplies,Paper,554.37,4.68
2023-09-09,East,Washington,Consumer,Standard Class,Office Supplies,Supplies,963.53,161.51
2023-09-10,South,Texas,Home Office,First Class,Furniture,Bookcases,123.61,1.67
2023-09-11,Central,New York,Corporate,First Class,Technology,Copiers,495.5,41.93
2023-09-12,Central,Washington,Consumer,Same Day,Office Supplies,Paper,177.81,30.55
2023-09-13,South,Texas,Home Office,Standard Class,Technology,Accessories,60.47,-3.44
2023-09-14,West,Florida,Corporate,Second Class,Technology,Copiers,621.35,-185.4
2023-09-15,Central,Washington,Corporate,Second Class,Furniture,Bookcases,215.71,45.29
2023-09-16,West,Texas,Home Office,Second Class,Furniture,Bookcases,591.82,-42.29
2023-09-17,East,Texas,Home Office,First Class,Technology,Accessories,121.24,-0.29
2023-09-18,West,California,Home Office,Second Class,Technology,Accessories,338.67,-100.02
2023-09-19,East,Florida,Home Office,First Class,Technology,Phones,783.82,-3.72
2023-09-20,West,California,Consumer,First Class,Technology,Accessories,442.68,129.21
2023-09-21,Central,New York,Home Office,Same Day,Furniture,Tables,631.47,-84.01
2023-09-22,Central,California,Corporate,Second Class,Office Supplies,Paper,650.98,-40.85
2023-09-23,East,California,Corporate,Second Class,Furniture,Bookcases,845.32,94.94
2023-09-24,South,Washington,Consumer,Standard Class,Office Supplies,Paper,331.67,62.64
2023-09-25,East,Texas,Corporate,Same Day,Technology,Copiers,690.42,-34.22
2023-09-26,East,Florida,Corporate,Standard Class,Office Supplies,Binders,962.0,-109.86
2023-09-27,West,California,Home Office,Same Day,Furniture,Chairs,732.94,192.54
2023-09-28,West,Florida,Corporate,Second Class,Furniture,Bookcases,494.97,52.61
2023-09-29,East,California,Consumer,First Class,Technology,Copiers,634.41,-145.02
2023-09-30,Central,New York,Home Office,First Class,Furniture,Bookcases,742.29,-191.99
2023-10-01,West,California,Home Office,First Class,Technology,Accessories,616.15,-6.08
2023-10-02,South,Washington,Consumer,First Class,Furniture,Chairs,26.51,-4.45
2023-10-03,West,Texas,Home Office,First Class,Furniture,Bookcases,202.83,-29.94
2023-10-04,West,New York,Home Office,Standard Class,Technology,Accessories,812.36,184.09
2023-10-05,South,California,Consumer,Same Day,Office Supplies,Binders,279.92,-68.93
2023-10-06,East,Florida,Home Office,Second Class,Furniture,Tables,734.25,94.88
2023-10-07,South,New York,Consumer,Standard Class,Office Supplies,Binders,378.4,-51.96
2023-10-08,East,New York,Consumer,Same Day,Furniture,Tables,526.67,82.26
2023-10-09,East,California,Corporate,First Class,Furniture,Chairs,77.29,10.31
2023-10-10,East,New York,Corporate,Same Day,Furniture,Chairs,189.41,-55.98
2023-10-11,South,Florida,Home Office,Same Day,Furniture,Tables,957.62,5.25
2023-10-12,East,New York,Home Office,First Class,Office Supplies,Supplies,891.24,-192.87
2023-10-13,Central,Florida,Consumer,First Class,Office Supplies,Binders,655.75,144.09
2023-10-14,South,California,Home Office,First Class,Furniture,Bookcases,465.05,103.68
2023-10-15,Central,Texas,Consumer,Second Class,Furniture,Tables,679.0,-33.27
2023-10-16,East,New York,Consumer,First Class,Office Supplies,Supplies,622.42,-20.77
2023-10-17,West,Texas,Home Office,Second Class,Technology,Copiers,572.87,-67.62
2023-10-18,East,Florida,Consumer,First Class,Technology,Copiers,68.59,8.91
2023-10-19,Central,New York,Corporate,Second Class,Office Supplies,Supplies,636.47,-53.97
2023-10-20,Central,Washington,Home Office,Same Day,Furniture,Bookcases,771.23,-107.45
2023-10-21,South,Texas,Corporate,Standard Class,Furniture,Chairs,994.14,-40.42
2023-10-22,West,New York,Home Office,Same Day,Technology,Phones,20.97,-5.14
2023-10-23,South,Texas,Consumer,Same Day,Technology,Phones,732.87,108.44
2023-10-24,Central,New York,Home Office,First Class,Office Supplies,Paper,576.07,-168.47
2023-10-25,East,California,Corporate,Second Class,Technology,Copiers,439.71,38.12
2023-10-26,West,Texas,Consumer,Standard Class,Office Supplies,Binders,136.29,-25.93
2023-10-27,East,Washington,Home Office,First Class,Technology,Accessories,414.99,-66.63
2023-10-28,East,Washington,Home Office,First Class,Technology,Phones,360.83,29.36
2023-10-29,West,Florida,Home Office,First Class,Technology,Phones,309.8,91.63
2023-10-30,South,New York,Corporate,Same Day,Furniture,Bookcases,733.57,122.24
2023-10-31,East,Texas,Corporate,Second Class,Furniture,Tables,703.72,-115.76
2023-11-01,Central,Florida,Home Office,Second Class,Furniture,Bookcases,593.13,-115.3
2023-11-02,East,Texas,Consumer,Standard Class,Technology,Copiers,939.28,206.4
2023-11-03,West,New York,Consumer,Second Class,Office Supplies,Binders,356.36,-11.93
2023-11-04,West,Washington,Corporate,Second Class,Office Supplies,Supplies,251.36,-54.74
2023-11-05,West,California,Consumer,First Class,Office Supplies,Paper,659.34,143.29
2023-11-06,South,Washington,Corporate,First Class,Office Supplies,Supplies,206.83,39.23
2023-11-07,East,Florida,Home Office,Same Day,Furniture,Bookcases,321.86,93.45
2023-11-08,South,California,Corporate,First Class,Furniture,Bookcases,232.36,57.12
2023-11-09,South,Florida,Corporate,First Class,Technology,Phones,78.46,16.56
